 ra|dec|name|proper_motion_ra|proper_motion_ra_unc|proper_motion_dec|proper_motion_dec_unc|publication_id|V_tan|V_tan_unc|source_id
 220.26906|+27.32563|2MASS J14410457+2719323| 0.0890| 0.0300|-0.0530| 0.0340|219| 14.0| 5.0|653
 220.36863|+50.76676|SDSS J144128.52+504600.4 | 0.0770| 0.0130|-0.1090| 0.0210|219| 46.0|11.0|
 220.40479| -9.76639|DENIS-P J1441-0945, G 124-62B|-0.1980| 0.0030|-0.0160| 0.0040|212| 25.9| 2.6|6
 220.59048|+66.05549|G 239-25 B |-0.3110| 0.0110|-0.0590| 0.0120|234| 14.8| 2.0|
 221.08466|-20.32378|SSSPM 1444-2019|-2.9190| 0.0090|-1.9500| 0.0050|247|333.0||
 221.50253| +0.41442|SDSSp J144600.60+002452.0| 0.1800| 0.0070|-0.0660| 0.0040|244| 19.9| 1.6|
 222.01378|+15.90419|2MASS J14480337+1554149|-0.5360| 0.0190| 0.1180| 0.0190|229| 58.0| 7.0|
 222.10677|+10.53307|2MASSW J1448256+103159 | 0.2620| 0.0220|-0.1200| 0.0220|219| 30.0| 4.0|4
 222.40771|+23.92719|2MASSW J1449378+235537 | 0.0500| 0.0130| 0.0270| 0.0240|210| 17.0| 5.0|
 222.56670|+23.91162|Gl 564B, HD 130948B| 0.1447| 0.0008| 0.0324| 0.0007|234| 12.6| 0.2|
 222.56670|+23.91162|Gl 564C, HD 130948C| 0.1447| 0.0008| 0.0324| 0.0007|234| 12.6| 0.2|
 223.34596|+15.71892|2MASS J14532303+1543081|-0.0110| 0.0180| 0.0280| 0.0180|219|4.0| 3.0|254
 223.53314|-66.07987|DENIS-P J1454078-660447| 0.5250| 0.0040|-0.3760| 0.0040|235| 33.0| 6.0|
 224.00571|-27.79348|2MASS J14560135-2747374|-0.2440| 0.0080|-0.7840| 0.0270|216| 89.0| 7.0|
 224.15940|-28.16349|2MASS J14563831-2809473|-0.4850| 0.0040|-0.8460| 0.0030|213| 31.8| 0.7|126
 224.31283|-21.36402|Gliese 570D| 1.0340| 0.0020|-1.7260| 0.0010|234| 56.4| 0.6|
 224.41515|+45.28799|2MASS J14573965+4517167|-0.1910| 0.0190| 0.1000| 0.0190|229| 22.0| 2.0|414
 224.60219|+28.66604|2MASS J14582453+2839580|-0.1090| 0.0240|-0.4320| 0.0280|219| 51.0| 9.0|236
 225.19049|+42.32911|2MASS J15004572+4219448| 0.1360| 0.0110|-0.0650| 0.0150|219| 21.0| 3.0|
 225.28408|+22.83389|2MASS J15010818+2250020|-0.0246| 0.0003|-0.0579| 0.0004|215|3.2| 0.0|237
 225.67004|+61.63773|SDSS J150240.80+613815.5 |-0.0980| 0.0100| 0.0360| 0.0220|219| 37.0| 6.0|
 225.83171|+25.42211|2MASS J15031961+2525196| 0.0090| 0.0170| 0.0210| 0.0180|210|1.0| 1.0|742
 226.06740|-23.93238|2MASS J15041621-2355564|-0.3050| 0.0290|-0.1190| 0.0110|217| 25.0| 3.0|565
